element_id,dataset,source_website,query_label,osm_type,osm_numeric_id,name,osm_key,osm_value,category,emotion1,emotion2,value1,value2,latitude,longitude,amenity,shop,leisure,landuse,office,railway,tags_json
node/448625827,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,448625827,Enchanted Woodland - Community Woodland,leisure,park,park relaxed,calm,open,0.20,0.10,51.4577079,0.2308678,,,park,,,,"{""leisure"": ""park"", ""name"": ""Enchanted Woodland - Community Woodland"", ""note"": ""Owned by the Temple Hill Trust the woodland is open all year round for the community to enjoy this green leisure space - Dartford's only openly accessible woodland.  Entrances in Cornwall Road (cobbled path and football pitch) and Marsh Street."", ""operator"": ""Royal Mail"", ""ref"": ""DA1 365"", ""source"": ""Debbie Fryer, C.E.O. of the Temple Hill Trust"", ""website"": ""www.templehilltrust.org.uk"", ""wheelchair"": ""limited""}"
node/947601398,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,947601398,Thorndon Country Park North,leisure,park,park relaxed,calm,open,0.20,0.10,51.5972099,0.3212757,,,park,,,,"{""leisure"": ""park"", ""name"": ""Thorndon Country Park North""}"
node/1694552975,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,1694552975,Weald Country Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.6293631,0.268842,,,park,,,,"{""leisure"": ""park"", ""name"": ""Weald Country Park"", ""source"": ""OS_OpenData_StreetView"", ""wikidata"": ""Q2553223""}"
node/7149157916,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,7149157916,The Old Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.590326,0.3393407,,,park,,,,"{""leisure"": ""park"", ""name"": ""The Old Park""}"
node/7498940369,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,7498940369,Nork Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.3169345,-0.2258778,,,park,,,,"{""leisure"": ""park"", ""name"": ""Nork Park""}"
node/7833610822,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,7833610822,Costead Manor Road Rope Swing,leisure,park,park relaxed,calm,open,0.20,0.10,51.6245826,0.289221,,,park,,,,"{""leisure"": ""park"", ""name"": ""Costead Manor Road Rope Swing""}"
node/8954753262,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,8954753262,Burnt Oak Lane Open Space,leisure,park,park relaxed,calm,open,0.20,0.10,51.4424214,0.1092937,,,park,,,,"{""addr:city"": ""Sidcup"", ""addr:postcode"": ""DA15 9BN"", ""addr:street"": ""Burnt Oak Lane"", ""leisure"": ""park"", ""name"": ""Burnt Oak Lane Open Space""}"
node/11563926902,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,11563926902,Trailnet CIC,leisure,park,park relaxed,calm,open,0.20,0.10,51.5993898,0.3194999,,,park,,,,"{""addr:city"": ""brentwood"", ""addr:housename"": ""Trailnet CIC"", ""addr:postcode"": ""CM13 3RZ"", ""addr:street"": ""The Avenue"", ""description"": ""Thorndon Cycle Centre"", ""leisure"": ""park"", ""name"": ""Trailnet CIC""}"
node/11753048107,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,11753048107,Laburnum Close Green,leisure,park,park relaxed,calm,open,0.20,0.10,51.475998,-0.0563023,,,park,,,,"{""leisure"": ""park"", ""name"": ""Laburnum Close Green""}"
node/12151808712,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,12151808712,Harebreaks Recreation Ground,leisure,park,park relaxed,calm,open,0.20,0.10,51.679621,-0.407655,,,park,,,,"{""addr:city"": ""Watford"", ""addr:country"": ""GB"", ""addr:postcode"": ""WD24 6QT"", ""addr:street"": ""1 Woodside, Watford"", ""leisure"": ""park"", ""name"": ""Harebreaks Recreation Ground"", ""operator"": ""Watford.gov.uk"", ""operator:type"": ""public"", ""phone"": ""+44 20 3567 6900""}"
node/12151828181,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,12151828181,Cassiobury Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.6605965,-0.41949,,,park,,,,"{""addr:city"": ""Watford"", ""addr:country"": ""GB"", ""addr:postcode"": ""WD18 7LG"", ""addr:street"": ""Central Avenue"", ""leisure"": ""park"", ""name"": ""Cassiobury Park"", ""opening_hours"": ""24/7"", ""operator"": ""Watford borough council"", ""phone"": ""+44 1923 226400"", ""website"": ""https://www.watford.gov.uk/""}"
node/12151832583,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,12151832583,Meriden Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.6792955,-0.3824033,,,park,,,,"{""addr:city"": ""Watford"", ""addr:country"": ""GB"", ""addr:postcode"": ""WD25 9ET"", ""addr:street"": ""Garsmouth Way"", ""leisure"": ""park"", ""name"": ""Meriden Park"", ""opening_hours"": ""24/7"", ""phone"": ""+44 20 3567 6900""}"
node/12151854833,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,12151854833,Callowland Recreation Ground,leisure,park,park relaxed,calm,open,0.20,0.10,51.6749362,-0.4057765,,,park,,,,"{""addr:city"": ""Watford"", ""addr:country"": ""GB"", ""addr:postcode"": ""WD24 5HY"", ""addr:street"": ""140 Gammons Lane"", ""leisure"": ""park"", ""name"": ""Callowland Recreation Ground"", ""opening_hours"": ""24/7"", ""operator"": ""watford.gov.uk"", ""operator:type"": ""public"", ""phone"": ""+44 20 3567 6900""}"
node/12151896934,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,12151896934,Garston Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.6918144,-0.3799805,,,park,,,,"{""addr:city"": ""Watford"", ""addr:country"": ""GB"", ""addr:postcode"": ""WD25 9RL"", ""addr:street"": ""72 Coates Dell"", ""leisure"": ""park"", ""name"": ""Garston Park"", ""opening_hours"": ""24/7"", ""operator"": ""watford.gov.uk"", ""operator:type"": ""public"", ""phone"": ""+44 1923 226400""}"
node/12151958263,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,12151958263,Cheslyn House & Gardens,leisure,park,park relaxed,calm,open,0.20,0.10,51.6758711,-0.4157621,,,park,,,,"{""addr:city"": ""Watford"", ""addr:country"": ""GB"", ""addr:postcode"": ""WD17 4SL"", ""addr:street"": ""Nascot Wood Road"", ""leisure"": ""park"", ""name"": ""Cheslyn House & Gardens"", ""opening_hours"": ""Mo-Su 09:00-20:00"", ""operator"": ""watford.gov.uk"", ""operator:type"": ""public""}"
node/13276415126,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,13276415126,Belmont station park,leisure,park,park relaxed,calm,open,0.20,0.10,51.3451367,-0.1976393,,,park,,,,"{""leisure"": ""park"", ""name"": ""Belmont station park"", ""opening_hours"": ""24/7""}"
node/13515968101,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,13515968101,Ealing Beaver Project,leisure,park,park relaxed,calm,open,0.20,0.10,51.5447432,-0.3399898,,,park,,,,"{""leisure"": ""park"", ""name"": ""Ealing Beaver Project""}"
node/13526930459,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,13526930459,Church Green,leisure,park,park relaxed,calm,open,0.20,0.10,51.5124098,-0.0205752,,,park,,,,"{""dog"": ""leashed"", ""leisure"": ""park"", ""name"": ""Church Green"", ""opening_hours"": ""Mo-Su 08:00-20:00"", ""operator"": ""Catholic Church"", ""operator:type"": ""religious""}"
node/13760684102,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,13760684102,Wharf Road Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.6413961,-0.0286664,,,park,,,,"{""check_date"": ""2026-04-25"", ""check_date:opening_hours"": ""2026-04-25"", ""leisure"": ""park"", ""name"": ""Wharf Road Park"", ""opening_hours"": ""24/7""}"
way/2903368,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,2903368,St Michael's Green,leisure,park,park relaxed,calm,open,0.20,0.10,51.6625042,-0.0860869,,,park,,,,"{""leisure"": ""park"", ""name"": ""St Michael's Green""}"
way/2903398,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,2903398,Bush Hill Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.6488011,-0.0681839,,,park,,,,"{""leisure"": ""park"", ""name"": ""Bush Hill Park""}"
way/2914274,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,2914274,Stephens House & Grounds,leisure,park,park relaxed,calm,open,0.20,0.10,51.5974717,-0.1935745,,,park,,,,"{""leisure"": ""park"", ""name"": ""Stephens House & Grounds"", ""name:alt"": ""Avenue House Grounds"", ""website"": ""http://www.stephenshouseandgardens.com/"", ""wikidata"": ""Q4828201"", ""wikipedia"": ""en:Avenue House Grounds""}"
way/2926821,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,2926821,Oakwood Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.641184,-0.120525,,,park,,,,"{""leisure"": ""park"", ""name"": ""Oakwood Park"", ""opening_hours"": ""sunrise-sunset"", ""wikidata"": ""Q42291400"", ""wikipedia"": ""en:Oakwood Park, Enfield""}"
way/2939009,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,2939009,Enfield Town Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.6492686,-0.0863456,,,park,,,,"{""leisure"": ""park"", ""name"": ""Enfield Town Park"", ""wikidata"": ""Q5377327""}"
way/2939140,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,2939140,Victoria Recreation Ground,leisure,park,park relaxed,calm,open,0.20,0.10,51.6526132,-0.1702798,,,park,,,,"{""leisure"": ""park"", ""name"": ""Victoria Recreation Ground"", ""wikidata"": ""Q7926994"", ""wikipedia"": ""en:Victoria Recreation Ground, New Barnet""}"
way/2953350,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,2953350,Sunnyhill Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.595642,-0.2293067,,,park,,,,"{""alt_name"": ""Sunny Hill Park"", ""leisure"": ""park"", ""name"": ""Sunnyhill Park"", ""operator"": ""Barnet Council"", ""operator:type"": ""government"", ""operator:wikidata"": ""Q4861611"", ""wikidata"": ""Q7640693"", ""wikipedia"": ""en:Sunny Hill Park""}"
way/2955990,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,2955990,Whetstone Stray,leisure,park,park relaxed,calm,open,0.20,0.10,51.6268492,-0.1826796,,,park,,,,"{""leisure"": ""park"", ""name"": ""Whetstone Stray""}"
way/2956125,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,2956125,School Playing Fields,leisure,park,park relaxed,calm,open,0.20,0.10,51.4344718,-0.0063073,,,park,,,,"{""leisure"": ""park"", ""name"": ""School Playing Fields""}"
way/2956783,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,2956783,Lewisham Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.453172,-0.0131711,,,park,,,,"{""leisure"": ""park"", ""name"": ""Lewisham Park""}"
way/3241371,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,3241371,Russell Square,leisure,park,park relaxed,calm,open,0.20,0.10,51.5216943,-0.126069,,,park,,,,"{""GBV"": ""Active"", ""barrier"": ""fence"", ""leisure"": ""park"", ""name"": ""Russell Square"", ""name:ar"": ""ميدان راسل"", ""name:en"": ""Russell Square"", ""wikidata"": ""Q1346906"", ""wikimedia_commons"": ""Category:Russell_Square_Gardens"", ""wikipedia"": ""en:Russell Square""}"
way/3241840,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,3241840,Tavistock Square,leisure,park,park relaxed,calm,open,0.20,0.10,51.5250414,-0.1290244,,,park,,,,"{""access"": ""permissive"", ""barrier"": ""fence"", ""leisure"": ""park"", ""name"": ""Tavistock Square"", ""name:etymology:wikidata"": ""Q668262"", ""opening_hours"": ""07:30-sunset"", ""source"": ""Survey of 2014-10-05"", ""wikidata"": ""Q1936696"", ""wikipedia"": ""en:Tavistock Square""}"
way/3385169,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,3385169,Glebelands Playing Fields Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.4507952,-0.4112163,,,park,,,,"{""dog"": ""leashed"", ""leisure"": ""park"", ""name"": ""Glebelands Playing Fields Park"", ""opening_hours"": ""24/7""}"
way/3400436,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,3400436,Friary Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.6187503,-0.1624713,,,park,,,,"{""barrier"": ""fence"", ""leisure"": ""park"", ""name"": ""Friary Park"", ""wikidata"": ""Q5503378"", ""wikipedia"": ""en:Friary Park""}"
way/3401837,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,3401837,Hatherop Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.4208537,-0.3848662,,,park,,,,"{""barbecue"": ""no"", ""fire"": ""no"", ""leisure"": ""park"", ""litter"": ""no"", ""moped"": ""no"", ""name"": ""Hatherop Park""}"
way/3430579,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,3430579,Carlisle Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.4209742,-0.3676262,,,park,,,,"{""leisure"": ""park"", ""name"": ""Carlisle Park"", ""wikidata"": ""Q5041398"", ""wikipedia"": ""en:Carlisle Park""}"
way/3541791,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,3541791,Hampton Court Green,leisure,park,park relaxed,calm,open,0.20,0.10,51.4069678,-0.3432559,,,park,,,,"{""designation"": ""open_space"", ""leisure"": ""park"", ""name"": ""Hampton Court Green"", ""note"": ""Royal property operated by Historic Royal Palaces"", ""source:designation"": ""http://www2.richmond.gov.uk/PlanData2/Planning_CASENO_Noindex.aspx?strCASENO=17/1404/ES191""}"
way/3664747,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,3664747,Durants Park,leisure,park,park relaxed,calm,open,0.20,0.10,51.6535011,-0.0418347,,,park,,,,"{""leisure"": ""park"", ""name"": ""Durants Park"", ""operator"": ""Enfield Council""}"
way/3690598,openstreetmap_poi,OpenStreetMap / Overpass API,parks,way,3690598,The Pleasance,leisure,park,park relaxed,calm,open,0.20,0.10,51.4614513,-0.236126,,,park,,,,"{""leisure"": ""park"", ""name"": ""The Pleasance""}"
