component,term,weight
0,park,0.44688260801887
0,leisure,0.3616108572183493
0,garden,0.3066765891905835
0,leisure park,0.30109140639394577
0,addr,0.29494183904721005
0,gardens,0.1865326142620363
0,leisure garden,0.18496634923730573
0,parks,0.1655565854919317
0,parks leisure,0.1506225826570523
0,shop,0.1289570452566956
0,park leisure,0.12891079059352661
0,wikidata,0.10310600857863936
1,addr,0.48887279611085116
1,shop,0.27542665464676824
1,office,0.17024316251433505
1,street,0.1535086113805119
1,brand,0.1534361638015523
1,shops,0.13883689588427336
1,shops shop,0.13759644947680127
1,00,0.13050231026627082
1,addr street,0.12435251067901941
1,housenumber,0.12239102687038837
1,addr housenumber,0.12239102687038837
1,addr city,0.12029423564979003
