element_id,dataset,source_website,query_label,osm_type,osm_numeric_id,name,osm_key,osm_value,category,emotion1,emotion2,value1,value2,latitude,longitude,amenity,shop,leisure,landuse,office,railway,tags_json,text_for_vectorisation,tfidf_x,tfidf_y,hash_x,hash_y,tfidf_kmeans_cluster,kmeans_cluster,gmm_cluster
node/448625827,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,448625827,Enchanted Woodland - Community Woodland,leisure,park,park relaxed,calm,open,0.2,0.1,51.4577079,0.2308678,,,park,,,,"{""leisure"": ""park"", ""name"": ""Enchanted Woodland - Community Woodland"", ""note"": ""Owned by the Temple Hill Trust the woodland is open all year round for the community to enjoy this green leisure space - Dartford's only openly accessible woodland.  Entrances in Cornwall Road (cobbled path and football pitch) and Marsh Street."", ""operator"": ""Royal Mail"", ""ref"": ""DA1 365"", ""source"": ""Debbie Fryer, C.E.O. of the Temple Hill Trust"", ""website"": ""www.templehilltrust.org.uk"", ""wheelchair"": ""limited""}","Enchanted Woodland - Community Woodland parks leisure park {""leisure"": ""park"", ""name"": ""Enchanted Woodland - Community Woodland"", ""note"": ""Owned by the Temple Hill Trust the woodland is open all year round for the community to enjoy this green leisure space - Dartford's only openly accessible woodland. Entrances in Cornwall Road (cobbled path and football pitch) and Marsh Street."", ""operator"": ""Royal Mail"", ""ref"": ""DA1 365"", ""source"": ""Debbie Fryer, C.E.O. of the Temple Hill Trust"", ""website"": ""www.templehilltrust.org.uk"", ""wheelchair"": ""limited""}",0.42113486944075784,-0.12594742112456728,0.46159688102920293,0.12810153225793658,0,1,0
node/947601398,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,947601398,Thorndon Country Park North,leisure,park,park relaxed,calm,open,0.2,0.1,51.5972099,0.3212757,,,park,,,,"{""leisure"": ""park"", ""name"": ""Thorndon Country Park North""}","Thorndon Country Park North parks leisure park {""leisure"": ""park"", ""name"": ""Thorndon Country Park North""}",0.5833570716465288,-0.2850967927535634,0.4238204081589193,0.40076412638385145,0,1,2
node/1694552975,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,1694552975,Weald Country Park,leisure,park,park relaxed,calm,open,0.2,0.1,51.6293631,0.268842,,,park,,,,"{""leisure"": ""park"", ""name"": ""Weald Country Park"", ""source"": ""OS_OpenData_StreetView"", ""wikidata"": ""Q2553223""}","Weald Country Park parks leisure park {""leisure"": ""park"", ""name"": ""Weald Country Park"", ""source"": ""OS_OpenData_StreetView"", ""wikidata"": ""Q2553223""}",0.5947793739297461,-0.2682055613566635,0.4809974643689642,0.5023561831783153,0,1,2
node/7149157916,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,7149157916,The Old Park,leisure,park,park relaxed,calm,open,0.2,0.1,51.590326,0.3393407,,,park,,,,"{""leisure"": ""park"", ""name"": ""The Old Park""}","The Old Park parks leisure park {""leisure"": ""park"", ""name"": ""The Old Park""}",0.6729088477374365,-0.3528013764255464,0.47694750352365506,0.47527306163403993,0,1,2
node/7498940369,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,7498940369,Nork Park,leisure,park,park relaxed,calm,open,0.2,0.1,51.3169345,-0.2258778,,,park,,,,"{""leisure"": ""park"", ""name"": ""Nork Park""}","Nork Park parks leisure park {""leisure"": ""park"", ""name"": ""Nork Park""}",0.6729088477374365,-0.3528013764255464,0.4489689137084456,0.5001526495028769,0,1,2
node/7833610822,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,7833610822,Costead Manor Road Rope Swing,leisure,park,park relaxed,calm,open,0.2,0.1,51.6245826,0.289221,,,park,,,,"{""leisure"": ""park"", ""name"": ""Costead Manor Road Rope Swing""}","Costead Manor Road Rope Swing parks leisure park {""leisure"": ""park"", ""name"": ""Costead Manor Road Rope Swing""}",0.5958872419390853,-0.26052952357923936,0.3970818752249035,0.22953927902007829,0,1,2
node/8954753262,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,8954753262,Burnt Oak Lane Open Space,leisure,park,park relaxed,calm,open,0.2,0.1,51.4424214,0.1092937,,,park,,,,"{""addr:city"": ""Sidcup"", ""addr:postcode"": ""DA15 9BN"", ""addr:street"": ""Burnt Oak Lane"", ""leisure"": ""park"", ""name"": ""Burnt Oak Lane Open Space""}","Burnt Oak Lane Open Space parks leisure park {""addr:city"": ""Sidcup"", ""addr:postcode"": ""DA15 9BN"", ""addr:street"": ""Burnt Oak Lane"", ""leisure"": ""park"", ""name"": ""Burnt Oak Lane Open Space""}",0.469453417871709,0.10726092123622459,0.4591445768293976,-0.009049800057163632,0,1,2
node/11563926902,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,11563926902,Trailnet CIC,leisure,park,park relaxed,calm,open,0.2,0.1,51.5993898,0.3194999,,,park,,,,"{""addr:city"": ""brentwood"", ""addr:housename"": ""Trailnet CIC"", ""addr:postcode"": ""CM13 3RZ"", ""addr:street"": ""The Avenue"", ""description"": ""Thorndon Cycle Centre"", ""leisure"": ""park"", ""name"": ""Trailnet CIC""}","Trailnet CIC parks leisure park {""addr:city"": ""brentwood"", ""addr:housename"": ""Trailnet CIC"", ""addr:postcode"": ""CM13 3RZ"", ""addr:street"": ""The Avenue"", ""description"": ""Thorndon Cycle Centre"", ""leisure"": ""park"", ""name"": ""Trailnet CIC""}",0.7049913638985217,0.20313838716747734,0.5171211567469681,-0.07331128136171351,0,1,2
node/11753048107,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,11753048107,Laburnum Close Green,leisure,park,park relaxed,calm,open,0.2,0.1,51.475998,-0.0563023,,,park,,,,"{""leisure"": ""park"", ""name"": ""Laburnum Close Green""}","Laburnum Close Green parks leisure park {""leisure"": ""park"", ""name"": ""Laburnum Close Green""}",0.5558393517918365,-0.29124508462569265,0.3857940631017724,0.381910309432963,0,1,0
node/12151808712,openstreetmap_poi,OpenStreetMap / Overpass API,parks,node,12151808712,Harebreaks Recreation Ground,leisure,park,park relaxed,calm,open,0.2,0.1,51.679621,-0.407655,,,park,,,,"{""addr:city"": ""Watford"", ""addr:country"": ""GB"", ""addr:postcode"": ""WD24 6QT"", ""addr:street"": ""1 Woodside, Watford"", ""leisure"": ""park"", ""name"": ""Harebreaks Recreation Ground"", ""operator"": ""Watford.gov.uk"", ""operator:type"": ""public"", ""phone"": ""+44 20 3567 6900""}","Harebreaks Recreation Ground parks leisure park {""addr:city"": ""Watford"", ""addr:country"": ""GB"", ""addr:postcode"": ""WD24 6QT"", ""addr:street"": ""1 Woodside, Watford"", ""leisure"": ""park"", ""name"": ""Harebreaks Recreation Ground"", ""operator"": ""Watford.gov.uk"", ""operator:type"": ""public"", ""phone"": ""+44 20 3567 6900""}",0.5542955001219456,0.16371197382468208,0.5663549328915756,-0.06626424134615388,0,1,2
