fragment_id,source_element_id,source_name,category,emotion,spatial_condition,kmeans_cluster,gmm_cluster,height,width,depth,spacing,distortion,movement_speed,rotation_speed,red,green,blue,scene_x,scene_y,scene_z,latitude,longitude
fragment_01,node/443418091,Ace Cars London Ltd,commercial stressful,stress,dense,0,1,28.2,7.175,7.175,4.9,5.9,2.18,0.078,0.92,0.345,0.315,40.997,0,8.155,51.532343,-0.0331182
fragment_02,node/356459052,Alex Neil Estate Agents,commercial stressful,stress,dense,0,1,28.2,7.175,7.175,4.9,5.9,2.18,0.078,0.92,0.345,0.315,38.618,0,15.996,51.5028892,-0.0260163
fragment_03,node/369829172,Allen Robyn & Associates,commercial stressful,stress,dense,3,1,32.7,7.175,7.175,4.9,5.9,2.18,0.078,0.92,0.345,0.315,34.755,0,23.223,51.5434205,-0.1176689
fragment_04,node/420792054,Andrew Reeves,commercial stressful,stress,dense,0,1,28.2,7.175,7.175,4.9,5.9,2.18,0.078,0.92,0.345,0.315,29.557,0,29.557,51.3998763,0.0167714
fragment_05,node/280380052,Arrivo,commercial stressful,stress,dense,3,1,32.7,7.175,7.175,4.9,5.9,2.18,0.078,0.92,0.345,0.315,23.223,0,34.755,51.4629601,-0.3026095
fragment_06,node/374237832,Barnes & Partners Solicitors,commercial stressful,stress,dense,0,1,28.2,7.175,7.175,4.9,5.9,2.18,0.078,0.92,0.345,0.315,15.996,0,38.618,51.5622437,-0.0759369
fragment_07,node/420771867,Brownhill Insurance,commercial stressful,stress,dense,0,1,28.2,7.175,7.175,4.9,5.9,2.18,0.078,0.92,0.345,0.315,8.155,0,40.997,51.407473,0.0162768
fragment_08,node/456034775,Charles Eden,commercial stressful,stress,dense,0,1,28.2,7.175,7.175,4.9,5.9,2.18,0.078,0.92,0.345,0.315,0.0,0,41.8,51.4077319,-0.0252436
fragment_09,node/450211894,Chesterons,commercial stressful,stress,dense,0,1,28.2,7.175,7.175,4.9,5.9,2.18,0.078,0.92,0.345,0.315,-8.155,0,40.997,51.4904589,-0.16721
fragment_10,node/462025259,Chestertons,commercial stressful,stress,dense,0,1,28.2,7.175,7.175,4.9,5.9,2.18,0.078,0.92,0.345,0.315,-15.996,0,38.618,51.5104251,-0.1520412
fragment_11,node/448446348,Clifton & Co,commercial stressful,stress,dense,3,1,32.7,7.175,7.175,4.9,5.9,2.18,0.078,0.92,0.345,0.315,-23.223,0,34.755,51.4447401,0.2170293
